"diameter","albedo","spkid","full_name","pha","H","e","a","q","i","n","per","per_y","moid","class"
16.84,0.25,20000433,"   433 Eros (A898 PA)",N,10.38,0.2228,1.458,1.133,10.83,0.5598,643,1.76,0.148,AMO
4.2,0.31,20000887,"   887 Alinda (A918 AA)",N,13.81,0.5712,2.474,1.061,9.40,0.2533,1.42e+03,3.89,0.0797,AMO
37.675,0.238,20001036,"  1036 Ganymed (A924 UB)",N,9.18,0.5332,2.665,1.244,26.68,0.2266,1.59e+03,4.35,0.343,AMO
1.0,,20001221,"  1221 Amor (1932 EA1)",N,17.37,0.4346,1.92,1.085,11.87,0.3705,972,2.66,0.108,AMO
1.0,0.51,20001566,"  1566 Icarus (1949 MA)",Y,16.53,0.8270,1.078,0.186,22.80,0.8805,409,1.12,0.0335,APO
5.8,0.08,20001580,"  1580 Betulia (1950 KA)",N,14.55,0.4876,2.195,1.125,52.19,0.3031,1.19e+03,3.25,0.132,AMO
2.56,0.290,20001620,"  1620 Geographos (1951 RA)",Y,15.26,0.3355,1.246,0.828,13.34,0.7088,508,1.39,0.0294,APO
9.12,0.15,20001627,"  1627 Ivar (1929 SH)",N,12.79,0.3973,1.863,1.123,8.46,0.3876,929,2.54,0.109,AMO
3.4,0.31,20001685,"  1685 Toro (1948 OA)",N,14.28,0.4360,1.368,0.771,9.38,0.6161,584,1.6,0.0511,APO
1.5,0.25,20001862,"  1862 Apollo (1932 HA)",Y,16.08,0.5599,1.471,0.647,6.35,0.5525,652,1.78,0.026,APO
2.1,0.24,20001863,"  1863 Antinous (1948 EA)",N,15.46,0.6063,2.26,0.890,18.38,0.2901,1.24e+03,3.4,0.187,APO
3.7,0.273,20001864,"  1864 Daedalus (1971 FA)",N,14.84,0.6144,1.461,0.563,22.22,0.5582,645,1.77,0.269,APO
1.2,0.22,20001865,"  1865 Cerberus (1971 UA)",N,16.78,0.4669,1.08,0.576,16.10,0.8782,410,1.12,0.157,APO
8.48,0.15,20001866,"  1866 Sisyphus (1972 XA)",N,12.48,0.5381,1.893,0.875,41.21,0.3783,952,2.61,0.104,APO
0.5,0.21,20001915,"  1915 Quetzalcoatl (1953 EA)",N,18.38,0.5702,2.545,1.094,20.40,0.2428,1.48e+03,4.06,0.109,AMO
3.5,,20001916,"  1916 Boreas (1953 RA)",N,14.93,0.4492,2.273,1.252,12.88,0.2877,1.25e+03,3.43,0.252,AMO
5.7,0.195,20001917,"  1917 Cuyo (1968 AA)",N,14.38,0.5055,2.149,1.063,23.96,0.3128,1.15e+03,3.15,0.0717,AMO
2.3,0.17,20001943,"  1943 Anteros (1973 EC)",N,15.70,0.2559,1.431,1.064,8.71,0.576,625,1.71,0.0609,AMO
4.3,0.25,20001980,"  1980 Tezcatlipoca (1950 LA)",N,13.81,0.3647,1.709,1.086,26.87,0.441,816,2.23,0.245,AMO
3.4,,20001981,"  1981 Midas (1973 EA)",Y,15.27,0.6505,1.776,0.621,39.82,0.4163,865,2.37,0.00277,APO
2.6,,20002061,"  2061 Anza (1960 UA)",N,16.70,0.5356,2.265,1.052,3.80,0.2891,1.25e+03,3.41,0.0558,AMO
1.1,0.26,20002062,"  2062 Aten (1976 AA)",N,17.11,0.1829,0.967,0.790,18.94,1.037,347,0.951,0.113,ATE
1.024,0.203,20002063,"  2063 Bacchus (1977 HB)",N,17.21,0.3494,1.078,0.701,9.43,0.8806,409,1.12,0.0667,APO
2.3,0.13,20002100,"  2100 Ra-Shalom (1978 RA)",N,16.24,0.4365,0.832,0.469,15.76,1.299,277,0.759,0.15,ATE
0.6,,20002101,"  2101 Adonis (1936 CA)",Y,18.69,0.7641,1.874,0.442,1.32,0.3842,937,2.57,0.0115,APO
1.649,0.245,20002102,"  2102 Tantalus (1975 YA)",Y,16.00,0.2994,1.29,0.904,64.01,0.6726,535,1.47,0.0426,APO
1.80,0.4328,20002201,"  2201 Oljato (1947 XC)",Y,15.32,0.7107,2.179,0.630,2.52,0.3065,1.17e+03,3.22,0.00278,APO
5.7,0.163,20002212,"  2212 Hephaistos (1978 SB)",N,13.49,0.8347,2.168,0.358,11.20,0.3088,1.17e+03,3.19,0.112,APO
0.3,,20002340,"  2340 Hathor (1976 UA)",Y,20.43,0.4499,0.8439,0.464,5.86,1.271,283,0.775,0.00663,ATE
2.3,0.27,20002368,"  2368 Beltrovata (1977 RA)",N,15.15,0.4134,2.105,1.235,5.22,0.3228,1.12e+03,3.05,0.231,AMO
